net,length_um
_01619_,42.48µm
_02972_,42.45µm
_04954_,42.44µm
fetch_stage.thread_pc.t_pc\[5\]\[30\],42.44µm
decode_stage.rf.rf2rd2\[14\],42.41µm
_03721_,42.4µm
_03214_,42.38µm
_05653_,42.38µm
_03417_,42.32µm
_03563_,42.28µm
_05567_,42.28µm
_01759_,42.265µm
_03952_,42.24µm
_06571_,42.23µm
_05607_,42.22µm
_03749_,42.2µm
_06926_,42.2µm
_04950_,42.18µm
_01767_,42.145µm
de.pc_plus4_d\[28\],42.14µm
_05487_,42.12µm
_06312_,42.08µm
fetch_stage.thread_pc.t_pc\[5\]\[22\],42.08µm
_06698_,42.06µm
_01246_,42.025µm
_01577_,42µm
fetch_stage.thread_pc.t_pc\[6\]\[27\],42µm
_05563_,41.98µm
_06523_,41.98µm
_07498_,41.94µm
_01554_,41.86µm
de.pc_plus4_e\[31\],41.86µm
_01706_,41.845µm
clknet_leaf_33_clk_regs,41.84µm
_03541_,41.82µm
_01475_,41.78µm
_05715_,41.76µm
de.pc_e\[19\],41.76µm
_01755_,41.745µm
_03927_,41.74µm
_04996_,41.68µm
_05463_,41.68µm
_01334_,41.625µm
fetch_stage.thread_pc.t_pc\[7\]\[7\],41.62µm
_02997_,41.6µm
_03401_,41.58µm
_06376_,41.54µm
_06314_,41.52µm
de.pc_plus4_d\[21\],41.5µm
_04365_,41.46µm
_04379_,41.46µm
_04886_,41.46µm
fetch_stage.thread_pc.t_pc\[6\]\[21\],41.44µm
de.alu_control_e\[2\],41.4µm
fetch_stage.thread_pc.t_pc\[7\]\[30\],41.36µm
_01601_,41.32µm
decode_stage.rf.rf2rd1\[18\],41.31µm
fetch_stage.thread_pc.t_pc\[1\]\[27\],41.27µm
_03351_,41.26µm
fetch_stage.thread_pc.t_pc\[2\]\[2\],41.245µm
_03923_,41.24µm
_04340_,41.24µm
_04561_,41.24µm
_05751_,41.2µm
_06757_,41.2µm
alu_result_m_i\[28\],41.2µm
_01322_,41.165µm
_01658_,41.16µm
_02942_,41.16µm
_05435_,41.14µm
_07217_,41.14µm
_01599_,41.125µm
_01472_,41.105µm
_03898_,41.1µm
_04148_,41.1µm
_06471_,41.1µm
em.pc_plus4_m\[26\],41.1µm
_06259_,41.04µm
_06769_,41.04µm
_01216_,41.025µm
_03118_,41µm
_03573_,41µm
_06603_,40.98µm
_04890_,40.96µm
_03909_,40.945µm
fetch_stage.thread_pc.t_pc\[6\]\[22\],40.94µm
_03238_,40.92µm
fetch_stage.thread_pc.t_pc\[5\]\[7\],40.92µm
fetch_stage.thread_pc.t_pc\[3\]\[6\],40.9µm
em.pc_plus4_m\[29\],40.86µm
de.pc_plus4_e\[28\],40.8µm
_05119_,40.78µm
_04306_,40.74µm
_04093_,40.695µm
_03525_,40.68µm
_04385_,40.68µm
_05505_,40.66µm
_06225_,40.66µm
_03173_,40.64µm
_06051_,40.62µm
decode_stage.rf.rf2rd2\[20\],40.53µm
fetch_stage.thread_pc.t_pc\[2\]\[6\],40.52µm
fetch_stage.thread_pc.t_pc\[2\]\[29\],40.505µm
_01558_,40.46µm
_04864_,40.46µm
_06712_,40.46µm
_06496_,40.43µm
_05635_,40.4µm
em.pc_plus4_m\[6\],40.4µm
_01657_,40.28µm
_01792_,40.28µm
_04169_,40.26µm
_01552_,40.225µm
_04195_,40.18µm
_06768_,40.17µm
_03389_,40.16µm
_06682_,40.16µm
_05731_,40.15µm
de.pc_e\[2\],40.1µm
_04267_,40.09µm
fetch_stage.thread_pc.t_pc\[3\]\[23\],40.085µm
fetch_stage.thread_pc.t_pc\[5\]\[3\],40.08µm
fetch_stage.thread_pc.t_pc\[3\]\[24\],40.06µm
fetch_stage.thread_pc.t_pc\[0\]\[28\],40.035µm
_01578_,40.02µm
fetch_stage.thread_pc.t_pc\[3\]\[0\],40.02µm
fetch_stage.thread_pc.t_pc\[7\]\[8\],40.02µm
_00010_,39.985µm
_06015_,39.95µm
em.pc_plus4_m\[24\],39.94µm
_04224_,39.92µm
_05300_,39.92µm
_03412_,39.9µm
_05605_,39.9µm
net10,39.9µm
_03258_,39.88µm
_05467_,39.86µm
de.pc_d\[24\],39.86µm
clknet_leaf_28_clk_regs,39.86µm
_03928_,39.84µm
_01197_,39.825µm
_01320_,39.825µm
_05661_,39.82µm
_05457_,39.8µm
_05540_,39.725µm
_05775_,39.66µm
decode_stage.rf.rf2rd2\[11\],39.65µm
_01549_,39.64µm
fetch_stage.thread_pc.t_pc\[0\]\[20\],39.585µm
_06589_,39.58µm
_01774_,39.52µm
_05459_,39.52µm
_01529_,39.5µm
fetch_stage.thread_pc.t_pc\[7\]\[15\],39.485µm
_01575_,39.445µm
_01709_,39.42µm
_03549_,39.4µm
_05587_,39.36µm
em.pc_plus4_m\[14\],39.36µm
_04799_,39.325µm
_01297_,39.265µm
_04143_,39.26µm
fetch_stage.thread_pc.t_pc\[7\]\[25\],39.26µm
_02854_,39.24µm
_06009_,39.24µm
_03519_,39.22µm
em.pc_plus4_m\[25\],39.22µm
fetch_stage.thread_pc.t_pc\[4\]\[31\],39.205µm
_04292_,39.2µm
_02800_,39.18µm
_03894_,39.18µm
_04643_,39.18µm
_06201_,39.16µm
_01236_,39.145µm
em.write_data_m\[24\],39.1µm
_06133_,39.095µm
de.imm_val_e\[2\],39.09µm
_05862_,39.08µm
_04920_,39.06µm
_05094_,39.06µm
_06395_,39.05µm
_01247_,39.025µm
_05999_,39.01µm
_06993_,39µm
_03634_,38.98µm
em.write_data_m\[31\],38.96µm
de.pc_d\[26\],38.94µm
_03057_,38.9µm
_03483_,38.9µm
_05123_,38.9µm
_05575_,38.9µm
_06355_,38.9µm
_01769_,38.885µm
_01330_,38.88µm
_04342_,38.78µm
_04354_,38.78µm
_05371_,38.78µm
_06160_,38.78µm
_01702_,38.74µm
fetch_stage.thread_pc.t_pc\[5\]\[10\],38.735µm
_05508_,38.73µm
_04064_,38.72µm
_04944_,38.7µm
_03955_,38.68µm
fetch_stage.thread_pc.t_pc\[2\]\[19\],38.585µm
_01335_,38.565µm
_01364_,38.56µm
_06327_,38.56µm
alu_result_m_i\[24\],38.56µm
_01498_,38.485µm
fetch_stage.thread_pc.t_pc\[4\]\[2\],38.465µm
_03406_,38.46µm
em.pc_plus4_m\[18\],38.46µm
_01648_,38.445µm
_04261_,38.44µm
_01548_,38.425µm
_04918_,38.4µm
fetch_stage.thread_pc.t_pc\[3\]\[22\],38.4µm
_07016_,38.38µm
_01646_,38.34µm
_05696_,38.34µm
_03841_,38.3µm
fetch_stage.thread_pc.t_pc\[5\]\[12\],38.3µm
de.pc_d\[25\],38.28µm
_04124_,38.24µm
de.res_src_e\[0\],38.24µm
_02941_,38.22µm
_04910_,38.22µm
fetch_stage.thread_pc.t_pc\[6\]\[5\],38.2µm
_02945_,38.19µm
_05633_,38.18µm
fetch_stage.thread_pc.t_pc\[2\]\[20\],38.155µm
_01551_,38.105µm
_05721_,38.1µm
fetch_stage.thread_pc.t_pc\[6\]\[6\],38.1µm
_01569_,38.085µm
_02867_,38.08µm
_03470_,38.08µm
_06601_,38.06µm
_07454_,38.06µm
mw.read_data_w\[2\],38.06µm
_01757_,37.945µm
_02899_,37.94µm
_02874_,37.9µm
_05494_,37.9µm
fetch_stage.thread_pc.t_pc\[2\]\[18\],37.9µm
fetch_stage.thread_pc.t_pc\[7\]\[11\],37.9µm
fetch_stage.thread_pc.t_pc\[5\]\[11\],37.865µm
_03088_,37.86µm
fetch_stage.thread_pc.t_pc\[0\]\[21\],37.85µm
_04946_,37.84µm
_01573_,37.805µm
_01219_,37.785µm
_06453_,37.74µm
_06676_,37.72µm
alu_result_m_i\[12\],37.72µm
_06882_,37.68µm
_06948_,37.68µm
_03587_,37.64µm
_01788_,37.62µm
_05414_,37.58µm
_05871_,37.565µm
_04272_,37.56µm
alu_result_m_i\[23\],37.56µm
fetch_stage.thread_pc.t_pc\[6\]\[7\],37.56µm
_03431_,37.5µm
fetch_stage.thread_pc.t_pc\[7\]\[10\],37.47µm
fetch_stage.thread_pc.t_pc\[2\]\[7\],37.42µm
fetch_stage.thread_pc.t_pc\[4\]\[12\],37.42µm
_03174_,37.38µm
_06182_,37.38µm
_01748_,37.345µm
_05241_,37.3µm
fetch_stage.thread_pc.t_pc\[7\]\[27\],37.3µm
_04039_,37.26µm
net26,37.26µm
fetch_stage.thread_pc.t_pc\[7\]\[31\],37.245µm
_01417_,37.24µm
_05713_,37.24µm
de.pc_plus4_d\[6\],37.24µm
_01620_,37.225µm
_05860_,37.2µm
_06266_,37.2µm
_06936_,37.18µm
de.pc_plus4_d\[27\],37.14µm
fetch_stage.thread_pc.t_pc\[7\]\[4\],37.14µm
_01721_,37.12µm
em.pc_plus4_m\[12\],37.1µm
_02946_,37.08µm
_03695_,37.08µm
_03865_,37.08µm
_05961_,37.08µm
_03854_,37µm
_06308_,37µm
de.pc_e\[14\],37µm
_05902_,36.98µm
_06899_,36.96µm
de.pc_plus4_e\[18\],36.96µm
_03192_,36.88µm
_05967_,36.88µm
_01336_,36.865µm
_03365_,36.86µm
_01789_,36.78µm
memory_stage.dm.ram\[6\]\[3\],36.78µm
_06692_,36.74µm
_05202_,36.69µm
_07099_,36.68µm
fetch_stage.thread_pc.t_pc\[0\]\[11\],36.6µm
_05565_,36.54µm
_04948_,36.51µm
_05899_,36.5µm
_03387_,36.48µm
_03416_,36.48µm
_03889_,36.48µm
_04123_,36.46µm
_06792_,36.44µm
_01368_,36.42µm
fetch_stage.thread_pc.t_pc\[7\]\[3\],36.405µm
_04877_,36.4µm
_04330_,36.38µm
_05360_,36.37µm
_01482_,36.345µm
_04894_,36.3µm
fetch_stage.thread_pc.t_pc\[1\]\[0\],36.285µm
fetch_stage.thread_pc.t_pc\[0\]\[16\],36.245µm
_01779_,36.22µm
_01306_,36.185µm
_07134_,36.18µm
de.pc_plus4_d\[5\],36.18µm
_01481_,36.165µm
_01493_,36.165µm
_03148_,36.15µm
fetch_stage.thread_pc.t_pc\[1\]\[21\],36.135µm
_01590_,36.105µm
_04882_,36.1µm
_05570_,36.1µm
_05126_,36.08µm
_07452_,36.08µm
clknet_leaf_43_clk_regs,36.07µm
_01780_,36.06µm
_06807_,36.06µm
fetch_stage.thread_pc.t_pc\[1\]\[28\],36.06µm
_05328_,36.04µm
_03248_,36.02µm
_03168_,36µm
fetch_stage.thread_pc.t_pc\[2\]\[25\],36µm
fetch_stage.thread_pc.t_pc\[6\]\[31\],35.985µm
_07046_,35.96µm
_05957_,35.94µm
fetch_stage.thread_pc.t_pc\[2\]\[26\],35.925µm
_07111_,35.92µm
_05638_,35.88µm
decode_stage.rf.rf2rd2\[18\],35.87µm
_06512_,35.86µm
_06219_,35.84µm
de.pc_plus4_e\[25\],35.82µm
de.funct3_e\[13\],35.78µm
_03482_,35.76µm
_04902_,35.74µm
_03023_,35.72µm
_05875_,35.72µm
_05346_,35.7µm
_06022_,35.7µm
_01643_,35.66µm
_04011_,35.64µm
_04874_,35.64µm
_05465_,35.64µm
_05735_,35.6µm
_06478_,35.6µm
_01727_,35.585µm
_06555_,35.58µm
_06174_,35.56µm
em.pc_plus4_m\[23\],35.56µm
_01323_,35.54µm
_01783_,35.54µm
fetch_stage.thread_pc.t_pc\[2\]\[24\],35.525µm
fetch_stage.thread_pc.t_pc\[3\]\[10\],35.52µm
decode_stage.rf.rf2rd2\[0\],35.51µm
_05092_,35.5µm
_01311_,35.485µm
_04929_,35.48µm
_03163_,35.46µm
_01388_,35.42µm
_03350_,35.4µm
_06687_,35.4µm
de.pc_plus4_d\[11\],35.34µm
_05125_,35.32µm
fetch_stage.thread_pc.t_pc\[1\]\[19\],35.305µm
_01555_,35.3µm
_03266_,35.3µm
de.alu_control_e\[9\],35.3µm
fetch_stage.thread_pc.t_pc\[3\]\[2\],35.28µm
em.pc_plus4_m\[20\],35.26µm
de.pc_plus4_d\[9\],35.24µm
fetch_stage.thread_pc.t_pc\[1\]\[25\],35.24µm
_07073_,35.22µm
_01600_,35.2µm
_05469_,35.2µm
_06638_,35.14µm
decode_stage.rf.rf2rd2\[13\],35.13µm
fetch_stage.thread_pc.t_pc\[7\]\[22\],35.125µm
_03386_,35.1µm
_06100_,35.1µm
fetch_stage.thread_pc.t_pc\[7\]\[0\],35.1µm
decode_stage.cu.op\[2\],35.08µm
_01494_,35.065µm
_07012_,35.04µm
_01639_,35.005µm
fetch_stage.thread_pc.t_pc\[4\]\[7\],35.005µm
de.pc_d\[19\],34.98µm
fetch_stage.thread_pc.t_pc\[0\]\[8\],34.975µm
_01243_,34.965µm
_06008_,34.95µm
fetch_stage.thread_pc.t_pc\[4\]\[8\],34.925µm
de.pc_plus4_d\[7\],34.92µm
fetch_stage.thread_pc.t_pc\[7\]\[21\],34.91µm
_03259_,34.9µm
_07010_,34.9µm
_01574_,34.865µm
_02990_,34.84µm
_06524_,34.84µm
_05309_,34.82µm
_01579_,34.8µm
_03379_,34.8µm
_04829_,34.8µm
_05724_,34.8µm
_03701_,34.78µm
_04133_,34.76µm
_05507_,34.76µm
fetch_stage.thread_pc.t_pc\[4\]\[27\],34.74µm
_05823_,34.735µm
_06469_,34.71µm
_03403_,34.7µm
_04089_,34.68µm
alu_result_m_i\[25\],34.68µm
fetch_stage.thread_pc.t_pc\[4\]\[21\],34.68µm
_01707_,34.665µm
fetch_stage.thread_pc.t_pc\[6\]\[9\],34.645µm
_03800_,34.64µm
_04320_,34.64µm
_05939_,34.62µm
de.mem_write_e,34.62µm
_01565_,34.6µm
_06215_,34.6µm
_01791_,34.585µm
em.pc_plus4_m\[27\],34.58µm
fetch_stage.thread_pc.t_pc\[0\]\[30\],34.545µm
_05666_,34.52µm
decode_stage.rd_w\[0\],34.52µm
_01543_,34.505µm
_06828_,34.5µm
_05203_,34.48µm
de.pc_plus4_e\[10\],34.48µm
fetch_stage.thread_pc.t_pc\[2\]\[9\],34.48µm
fetch_stage.thread_pc.t_pc\[7\]\[19\],34.47µm
_06847_,34.46µm
_04299_,34.44µm
_03000_,34.42µm
_04200_,34.42µm
_05663_,34.42µm
de.pc_plus4_e\[6\],34.42µm
fetch_stage.thread_pc.t_pc\[0\]\[18\],34.42µm
fetch_stage.thread_pc.t_pc\[0\]\[31\],34.42µm
_01652_,34.4µm
_01357_,34.365µm
_02869_,34.34µm
de.pc_plus4_e\[29\],34.34µm
_06301_,34.3µm
_04804_,34.26µm
fetch_stage.thread_pc.t_pc\[2\]\[27\],34.245µm
_01305_,34.235µm
fetch_stage.thread_pc.t_pc\[3\]\[19\],34.22µm
de.pc_e\[13\],34.2µm
_03790_,34.18µm
_03996_,34.14µm
_05584_,34.14µm
mw.read_data_w\[1\],34.14µm
fetch_stage.thread_pc.t_pc\[4\]\[22\],34.12µm
em.pc_plus4_m\[28\],34.08µm
_05817_,34.06µm
_05198_,34.04µm
_06354_,34.02µm
_07151_,34.02µm
fetch_stage.thread_pc.t_pc\[2\]\[3\],33.965µm
fetch_stage.thread_pc.t_pc\[4\]\[5\],33.95µm
alu_result_m_i\[21\],33.94µm
de.pc_d\[13\],33.94µm
_05152_,33.92µm
_06967_,33.9µm
de.pc_plus4_e\[14\],33.9µm
fetch_stage.thread_pc.t_pc\[4\]\[25\],33.9µm
_05564_,33.88µm
fetch_stage.thread_pc.t_pc\[3\]\[5\],33.88µm
fetch_stage.thread_pc.t_pc\[6\]\[13\],33.88µm
_01793_,33.86µm
_06648_,33.86µm
_05561_,33.84µm
_01294_,33.82µm
_03686_,33.82µm
_07453_,33.82µm
_04310_,33.81µm
_01499_,33.805µm
_06152_,33.805µm
_01479_,33.8µm
_04626_,33.8µm
_06871_,33.8µm
de.imm_val_e\[24\],33.8µm
clknet_leaf_156_clk_regs,33.78µm
_01474_,33.765µm
_06831_,33.76µm
_05466_,33.74µm
_06250_,33.74µm
_04898_,33.72µm
_06641_,33.72µm
fetch_stage.thread_pc.t_pc\[6\]\[15\],33.72µm
_04152_,33.7µm
_05364_,33.7µm
_01651_,33.68µm
fetch_stage.thread_pc.t_pc\[0\]\[25\],33.68µm
_06679_,33.66µm
de.pc_plus4_e\[30\],33.66µm
_04322_,33.64µm
de.pc_plus4_d\[3\],33.62µm
_06452_,33.6µm
em.pc_plus4_m\[7\],33.58µm
_04887_,33.48µm
_05882_,33.48µm
_06634_,33.475µm
_05243_,33.46µm
de.imm_val_e\[6\],33.46µm
fetch_stage.thread_pc.t_pc\[5\]\[0\],33.425µm
fetch_stage.thread_pc.t_pc\[2\]\[4\],33.42µm
_04353_,33.38µm
_05708_,33.38µm
_05296_,33.35µm
_05383_,33.34µm
_05896_,33.34µm
_04015_,33.3µm
fetch_stage.thread_pc.t_pc\[2\]\[8\],33.29µm
_06503_,33.28µm
_05458_,33.24µm
mw.result_src_w\[0\],33.24µm
_06042_,33.23µm
_04797_,33.22µm
em.pc_plus4_m\[30\],33.22µm
_05706_,33.2µm
_06168_,33.2µm
_06490_,33.2µm
_03198_,33.18µm
_06721_,33.16µm
de.pc_plus4_e\[7\],33.14µm
_04915_,33.12µm
fetch_stage.thread_pc.t_pc\[6\]\[8\],33.12µm
alu_result_m_i\[20\],33.1µm
_06982_,33.08µm
fetch_stage.thread_pc.t_pc\[4\]\[17\],33.07µm
fetch_stage.thread_pc.t_pc\[0\]\[2\],33.045µm
de.pc_e\[9\],33.04µm
decode_stage.rf.rf2rd2\[7\],33.03µm
_01217_,32.985µm
_05090_,32.98µm
_05161_,32.98µm
em.pc_plus4_m\[19\],32.98µm
fetch_stage.thread_pc.t_pc\[2\]\[11\],32.925µm
_04952_,32.92µm
fetch_stage.thread_pc.t_pc\[4\]\[9\],32.89µm
_01338_,32.88µm
_03796_,32.88µm
alu_result_m_i\[10\],32.88µm
_01238_,32.865µm
_03688_,32.86µm
_03931_,32.84µm
fetch_stage.thread_pc.t_pc\[7\]\[9\],32.84µm
_04830_,32.8µm
fetch_stage.thread_pc.t_pc\[7\]\[24\],32.8µm
_05506_,32.78µm
_07114_,32.78µm
fetch_stage.thread_pc.t_pc\[0\]\[1\],32.78µm
_04925_,32.76µm
fetch_stage.thread_pc.t_pc\[0\]\[15\],32.76µm
fetch_stage.thread_pc.t_pc\[1\]\[12\],32.74µm
_03986_,32.735µm
_04092_,32.72µm
fetch_stage.thread_pc.t_pc\[4\]\[30\],32.705µm
_04917_,32.7µm
_04041_,32.68µm
fetch_stage.thread_pc.t_pc\[2\]\[23\],32.665µm
_01685_,32.66µm
_07142_,32.66µm
em.pc_plus4_m\[9\],32.66µm
memory_stage.dm.ram\[48\]\[14\],32.66µm
decode_stage.rf.rf2rd2\[15\],32.57µm
em.pc_plus4_m\[13\],32.56µm
mw.read_data_w\[4\],32.56µm
fetch_stage.thread_pc.t_pc\[1\]\[18\],32.52µm
_03422_,32.46µm
_05311_,32.42µm
de.pc_d\[11\],32.42µm
_06607_,32.35µm
_03770_,32.34µm
clknet_leaf_31_clk_regs,32.34µm
fetch_stage.thread_pc.t_pc\[4\]\[1\],32.32µm
fetch_stage.thread_pc.t_pc\[1\]\[31\],32.305µm
fetch_stage.thread_pc.t_pc\[6\]\[19\],32.3µm
_01777_,32.28µm
_04630_,32.28µm
_05782_,32.23µm
_01542_,32.205µm
_03994_,32.18µm
_05764_,32.18µm
_02809_,32.16µm
_03364_,32.16µm
de.pc_e\[18\],32.12µm
fetch_stage.thread_pc.t_pc\[0\]\[22\],32.12µm
_01497_,32.1µm
_04316_,32.1µm
_01218_,32.065µm
em.pc_plus4_m\[15\],32.06µm
fetch_stage.thread_pc.t_pc\[6\]\[25\],32.05µm
_01235_,32.045µm
_03726_,32.04µm
_06912_,32.04µm
_07023_,32µm
em.pc_plus4_m\[10\],32µm
_01659_,31.985µm
fetch_stage.thread_pc.t_pc\[1\]\[22\],31.96µm
fetch_stage.thread_pc.t_pc\[3\]\[4\],31.96µm
_04146_,31.92µm
_04234_,31.92µm
_05668_,31.92µm
_07341_,31.92µm
alu_result_m_i\[11\],31.92µm
fetch_stage.thread_pc.t_pc\[6\]\[12\],31.92µm
_01245_,31.9µm
_05585_,31.9µm
_03492_,31.88µm
_04328_,31.88µm
clknet_leaf_182_clk_regs,31.88µm
_05659_,31.86µm
_01756_,31.845µm
de.pc_plus4_e\[8\],31.84µm
decode_stage.rf.rf2rd2\[8\],31.83µm
_03491_,31.82µm
_05129_,31.82µm
_01496_,31.805µm
_05322_,31.805µm
de.imm_val_e\[22\],31.76µm
fetch_stage.thread_pc.t_pc\[7\]\[12\],31.76µm
_01248_,31.745µm
_06836_,31.74µm
_03932_,31.72µm
de.rd_e\[2\],31.7µm
de.imm_val_e\[0\],31.69µm
_04893_,31.66µm
_05588_,31.64µm
_01370_,31.6µm
_03294_,31.6µm
_03094_,31.58µm
de.pc_plus4_d\[8\],31.58µm
memory_stage.dm.ram\[38\]\[12\],31.565µm
_01641_,31.56µm
_04878_,31.54µm
_05261_,31.54µm
_01485_,31.52µm
_02884_,31.48µm
_06384_,31.465µm
memory_stage.dm.ram\[36\]\[20\],31.46µm
_04942_,31.44µm
fetch_stage.thread_pc.t_pc\[4\]\[11\],31.44µm
_05447_,31.43µm
_06393_,31.42µm
memory_stage.dm.ram\[57\]\[9\],31.4µm
_02801_,31.36µm
fetch_stage.thread_pc.t_pc\[6\]\[2\],31.32µm
_01478_,31.28µm
_05797_,31.28µm
_06742_,31.28µm
_05509_,31.26µm
fetch_stage.thread_pc.t_pc\[4\]\[28\],31.245µm
_03039_,31.24µm
_05832_,31.24µm
_07502_,31.24µm
_01292_,31.22µm
fetch_stage.thread_pc.t_pc\[1\]\[11\],31.22µm
_01735_,31.205µm
_06351_,31.2µm
fetch_stage.thread_pc.t_pc\[7\]\[28\],31.18µm
_06080_,31.17µm
fetch_stage.thread_pc.t_pc\[2\]\[31\],31.17µm
_02831_,31.16µm
em.pc_plus4_m\[31\],31.16µm
_01728_,31.125µm
_01889_,31.125µm
fetch_stage.thread_pc.t_pc\[0\]\[10\],31.1µm
fetch_stage.thread_pc.t_pc\[0\]\[27\],31.09µm
_04454_,31.08µm
_03338_,31.04µm
_05953_,31.04µm
_05955_,31.02µm
memory_stage.dm.ram\[16\]\[5\],31.02µm
_03808_,31.015µm
_06501_,30.96µm
_05389_,30.94µm
_04287_,30.92µm
fetch_stage.thread_pc.t_pc\[5\]\[29\],30.92µm
_05461_,30.9µm
fetch_stage.thread_pc.t_pc\[5\]\[23\],30.895µm
_06377_,30.88µm
_01698_,30.86µm
_03219_,30.86µm
_07093_,30.86µm
_03206_,30.84µm
_06988_,30.84µm
_01339_,30.825µm
_02830_,30.82µm
_05845_,30.82µm
_06292_,30.82µm
_06811_,30.8µm
_03280_,30.78µm
fetch_stage.thread_pc.t_pc\[5\]\[18\],30.78µm
_03083_,30.76µm
_04359_,30.74µm
_06932_,30.74µm
_01778_,30.725µm
_02907_,30.68µm
_05802_,30.68µm
de.imm_val_e\[30\],30.66µm
de.pc_d\[29\],30.66µm
memory_stage.dm.ram\[37\]\[27\],30.66µm
_01751_,30.645µm
_04304_,30.6µm
_06159_,30.6µm
_06257_,30.6µm
fetch_stage.thread_pc.t_pc\[4\]\[15\],30.58µm
_06976_,30.565µm
_04016_,30.56µm
_04020_,30.56µm
_04147_,30.54µm
_05163_,30.52µm
_04885_,30.5µm
de.pc_e\[30\],30.5µm
_01686_,30.48µm
_01488_,30.445µm
_01699_,30.44µm
_07031_,30.44µm
alu_result_m_i\[15\],30.44µm
_01567_,30.435µm
_01736_,30.425µm
em.pc_plus4_m\[8\],30.36µm
fetch_stage.thread_pc.t_pc\[3\]\[25\],30.355µm
_05975_,30.34µm
_01750_,30.325µm
de.pc_e\[24\],30.32µm
fetch_stage.thread_pc.t_pc\[4\]\[3\],30.3µm
de.pc_e\[22\],30.28µm
em.pc_plus4_m\[5\],30.28µm
_07121_,30.2µm
memory_stage.dm.ram\[42\]\[5\],30.18µm
_03436_,30.16µm
_05398_,30.14µm
_06315_,30.12µm
_06838_,30.12µm
fetch_stage.thread_pc.t_pc\[5\]\[21\],30.12µm
fetch_stage.thread_pc.t_pc\[0\]\[14\],30.085µm
_04309_,30.08µm
_04921_,30.06µm
_06285_,30.06µm
de.imm_val_e\[28\],30.06µm
_00856_,30µm
_06891_,29.98µm
de.pc_e\[25\],29.98µm
_04376_,29.96µm
_06254_,29.96µm
_06848_,29.96µm
_05907_,29.94µm
_06772_,29.94µm
_07027_,29.94µm
fetch_stage.thread_pc.t_pc\[2\]\[5\],29.925µm
_05220_,29.9µm
_03141_,29.88µm
_03575_,29.88µm
_06756_,29.88µm
_06657_,29.87µm
_04621_,29.86µm
_01480_,29.84µm
_03987_,29.84µm
fetch_stage.thread_pc.t_pc\[6\]\[16\],29.8µm
fetch_stage.thread_pc.t_pc\[5\]\[13\],29.795µm
_01731_,29.745µm
_01282_,29.705µm
_05701_,29.7µm
_06528_,29.695µm
_04378_,29.68µm
memory_stage.dm.ram\[28\]\[2\],29.66µm
_03951_,29.6µm
_04907_,29.6µm
_04479_,29.58µm
_06337_,29.58µm
_03954_,29.56µm
_06385_,29.56µm
_01771_,29.465µm
_01700_,29.445µm
_05109_,29.44µm
de.pc_d\[20\],29.44µm
mw.read_data_w\[0\],29.44µm
fetch_stage.thread_pc.t_pc\[3\]\[15\],29.42µm
_03001_,29.4µm
_03497_,29.4µm
_06102_,29.4µm
_01704_,29.365µm
mw.read_data_w\[6\],29.36µm
_05115_,29.345µm
fetch_stage.thread_pc.t_pc\[5\]\[1\],29.345µm
_05577_,29.34µm
em.result_src_m\[0\],29.34µm
_01730_,29.325µm
_01115_,29.3µm
fetch_stage.thread_pc.t_pc\[6\]\[17\],29.285µm
_03407_,29.26µm
_04956_,29.24µm
fetch_stage.thread_pc.t_pc\[3\]\[31\],29.24µm
_04266_,29.22µm
_06853_,29.22µm
_03893_,29.2µm
_06531_,29.185µm
_05201_,29.16µm
_03373_,29.14µm
de.tid_e\[0\],29.1µm
memory_stage.dm.ram\[20\]\[6\],29.1µm
fetch_stage.thread_pc.t_pc\[2\]\[30\],29.065µm
fetch_stage.thread_pc.t_pc\[5\]\[24\],29.06µm
_05215_,29.04µm
_03368_,29.02µm
fetch_stage.thread_pc.t_pc\[1\]\[1\],29.02µm
fetch_stage.thread_pc.t_pc\[3\]\[13\],29.02µm
mw.read_data_w\[24\],29.02µm
_01693_,29µm
fetch_stage.thread_pc.t_pc\[4\]\[24\],28.985µm
_05166_,28.94µm
_05359_,28.94µm
_06842_,28.94µm
de.pc_e\[16\],28.94µm
memory_stage.dm.ram\[24\]\[28\],28.94µm
_04335_,28.92µm
_04469_,28.92µm
_01221_,28.905µm
_05468_,28.9µm
fetch_stage.thread_pc.t_pc\[1\]\[20\],28.9µm
_02937_,28.88µm
fetch_stage.thread_pc.t_pc\[0\]\[9\],28.86µm
_06048_,28.84µm
de.pc_plus4_d\[4\],28.84µm
_05900_,28.82µm
_06046_,28.82µm
_05589_,28.8µm
_01400_,28.745µm
_04816_,28.74µm
_06352_,28.74µm
_01775_,28.72µm
_03353_,28.72µm
_04049_,28.72µm
_06206_,28.68µm
_01642_,28.665µm
_03256_,28.66µm
_03328_,28.66µm
_05334_,28.65µm
_01406_,28.62µm
_05378_,28.62µm
fetch_stage.thread_pc.t_pc\[1\]\[16\],28.62µm
fetch_stage.thread_pc.t_pc\[3\]\[28\],28.62µm
_06181_,28.6µm
_07074_,28.58µm
alu_result_m_i\[17\],28.58µm
_01371_,28.565µm
_07123_,28.56µm
_03672_,28.52µm
_03713_,28.52µm
_05110_,28.52µm
_06192_,28.52µm
_06353_,28.52µm
_03668_,28.5µm
_04082_,28.5µm
_01230_,28.485µm
_03392_,28.48µm
_03576_,28.48µm
fetch_stage.thread_pc.t_pc\[3\]\[30\],28.48µm
