net,length_um
alu_result_w_o\[11\],664.16µm
de.rd2_e\[28\],663.395µm
_07277_,662.715µm
_07274_,661.6µm
_04468_,655.71µm
alu_result_w_o\[10\],655.5µm
alu_result_w_o\[15\],655.33µm
alu_result_w_o\[16\],653.99µm
decode_stage.imex.instr\[24\],651.22µm
decode_stage.rf.rf2_index1\[2\],651µm
alu_result_w_o\[12\],649.3µm
_04403_,647.92µm
_04847_,645.885µm
net101,644µm
decode_stage.rf.rf1_index2\[5\],640.5µm
_05521_,639.33µm
alu_result_w_o\[26\],639.06µm
net223,638.01µm
net169,637.76µm
decode_stage.rf.rf2_index1\[5\],634.37µm
clknet_4_7_0_clk_regs,624.58µm
de.alu_control_e\[1\],620.39µm
de.rd2_e\[30\],618.72µm
_05244_,618.06µm
alu_result_w_o\[19\],616.57µm
de.rd2_e\[25\],616.36µm
net80,615.445µm
net246,614.695µm
clknet_4_11_0_clk_regs,614.215µm
decode_stage.rf.rf1_index2\[6\],613.3µm
alu_result_w_o\[20\],611.41µm
alu_result_w_o\[23\],609.26µm
alu_result_w_o\[30\],608.12µm
net234,605.01µm
de.alu_control_e\[0\],604.23µm
_04783_,601.12µm
decode_stage.rf.rf2_index1\[1\],598.63µm
net78,598.53µm
clknet_4_1_0_clk_regs,597.55µm
alu_result_w_o\[28\],597.24µm
alu_result_w_o\[21\],595.13µm
clknet_4_13_0_clk_regs,593.92µm
alu_result_w_o\[25\],593.52µm
alu_result_w_o\[24\],590.44µm
net250,589.47µm
de.rd2_e\[3\],587.9µm
_04611_,587.13µm
_04475_,583.07µm
net248,582.48µm
alu_result_w_o\[29\],581.55µm
decode_stage.imex.instr\[23\],577.34µm
de.rd2_e\[4\],576.96µm
de.rd1_e\[27\],575.22µm
net243,574.91µm
net247,571.14µm
net252,570.44µm
_07340_,570.285µm
net244,568.64µm
alu_result_w_o\[31\],567.22µm
_04542_,566.42µm
_07198_,564.87µm
de.rd2_e\[16\],561.78µm
de.alu_control_e\[5\],559.885µm
net256,559.46µm
alu_result_w_o\[27\],556.56µm
net35,553.805µm
net2,551.84µm
net242,551.365µm
_07271_,551.16µm
net251,549.965µm
_07279_,548.98µm
de.alu_control_e\[8\],547.61µm
de.alu_control_e\[7\],546.22µm
net236,542.045µm
_05179_,541.29µm
_04396_,538.69µm
_04784_,534.82µm
de.rd1_e\[31\],532.04µm
de.rd1_e\[20\],531.8µm
decode_stage.rf.rf1rd1\[27\],530.69µm
decode_stage.rf.rf1rd1\[25\],519.09µm
clknet_4_12_0_clk_regs,518.87µm
clknet_4_0_0_clk_regs,515.14µm
decode_stage.rf.rf1rd1\[22\],513.59µm
de.rd2_e\[18\],512.94µm
decode_stage.rf.rf1rd1\[0\],510.81µm
decode_stage.rf.rf1rd1\[28\],510.54µm
decode_stage.imex.instr\[22\],502.52µm
net39,494.82µm
net40,490.45µm
decode_stage.rf.rf1rd1\[21\],487.15µm
decode_stage.rf.rf1rd1\[18\],485.65µm
net253,481.98µm
decode_stage.rf.rf1rd1\[26\],477.53µm
decode_stage.rf.rf1_index1\[6\],476.98µm
_04851_,473.54µm
_05229_,473.255µm
clknet_4_2_0_clk_regs,471.19µm
decode_stage.rf.rf1rd1\[19\],471.01µm
decode_stage.rf.rf1rd1\[31\],469.73µm
_07470_,468.3µm
_04472_,467.47µm
net249,466.2µm
_05228_,465.575µm
decode_stage.rf.rf1_index1\[5\],464.23µm
decode_stage.rf.rf1_index2\[0\],463.31µm
_07475_,462.52µm
decode_stage.rf.rf1rd1\[24\],459.91µm
decode_stage.rf.rf1rd1\[14\],458.43µm
clknet_2_3_0_clk_regs,457.56µm
_05259_,452.415µm
decode_stage.imex.instr\[21\],451.88µm
_04963_,450.885µm
_04400_,450.73µm
_05172_,447.17µm
decode_stage.rf.rf1rd1\[12\],446.15µm
de.alu_control_e\[6\],445.1µm
mw.pc_plus4_w\[2\],444.82µm
decode_stage.rf.rf1rd1\[2\],444.16µm
de.rd2_e\[1\],443.66µm
_07477_,443.09µm
_05043_,440.56µm
_06434_,440.52µm
_07474_,438.52µm
decode_stage.rf.rf1rd1\[16\],438.355µm
decode_stage.rf.rf2rd1\[20\],434.47µm
decode_stage.rf.rf1rd1\[30\],433.77µm
_07473_,431.7µm
_07344_,431.52µm
decode_stage.rf.rf1rd1\[13\],430.15µm
decode_stage.rf.rf1rd2\[16\],428.35µm
_05067_,428.12µm
_06514_,421.97µm
_04614_,421.095µm
_04832_,420.285µm
decode_stage.rf.rf1rd1\[29\],419.975µm
decode_stage.rf.rf1rd1\[17\],418.79µm
decode_stage.rf.rf1rd2\[25\],417.23µm
net43,417.11µm
decode_stage.imex.instr\[20\],416.85µm
net57,416.82µm
net245,416.13µm
_07495_,414.9µm
decode_stage.rf.rf1rd1\[10\],414.15µm
_07205_,414.1µm
clknet_4_14_0_clk_regs,411.865µm
_05515_,407.645µm
net61,407.24µm
_04545_,407.21µm
_07476_,407.01µm
clknet_2_2_0_clk_regs,406.22µm
net38,405.87µm
_04852_,402.93µm
