,type,cycles,exec_time,ops_p_s,ops_p_j
0,regular,252500.0,0.005302500000000001,18859028.760018855,2603535380.018929
1,mt,106000.0,0.0025440000000000003,39308176.10062893,4073042131.740058
2,diff (%),-58.01980198019802,-52.02263083451202,108.43160377358492,56.4427417810026
