Metric,Value
timing__setup__ws__corner:min_tt_025C_1v80,2.384839060400464
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,6.206654
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,57
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,5746
design__max_fanout_violation__count__corner:min_ss_100C_1v60,129
design__max_cap_violation__count__corner:min_ss_100C_1v60,2317
clock__skew__worst_hold__corner:min_ss_100C_1v60,0.3257170458874063
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.8257170736429826
timing__hold__ws__corner:min_ss_100C_1v60,0.6584515341561789
timing__setup__ws__corner:min_ss_100C_1v60,0.15874235708570444
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,4.578471
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,57
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,1794
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,129
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.16591431476089294
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.477721764557439
timing__hold__ws__corner:min_ff_n40C_1v95,2.197721622448888
timing__setup__ws__corner:min_ff_n40C_1v95,3.240844573324071
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,6.848716
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,57
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,4671
design__max_fanout_violation__count__corner:max_tt_025C_1v80,129
design__max_cap_violation__count__corner:max_tt_025C_1v80,1
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.1918306401357403
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.589750487360166
timing__hold__ws__corner:max_tt_025C_1v80,1.5864874307762047
timing__setup__ws__corner:max_tt_025C_1v80,2.123441482751741
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,6.068827
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,57
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,6097
design__max_fanout_violation__count__corner:max_ss_100C_1v60,129
design__max_cap_violation__count__corner:max_ss_100C_1v60,2900
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.3601637146020644
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.8601637423576408
timing__hold__ws__corner:max_ss_100C_1v60,0.34687587117815427
timing__setup__ws__corner:max_ss_100C_1v60,-0.3565778884201404
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-31.951842964721884
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-0.3565778884201404
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,128
timing__setup_r2r__ws__corner:max_ss_100C_1v60,4.302386
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,57
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,2662
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,129
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.21484889475629437
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4897438149195993
timing__hold__ws__corner:max_ff_n40C_1v95,2.0964777174346874
timing__setup__ws__corner:max_ff_n40C_1v95,3.079886655107764
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.770426
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,57
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,57
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79945
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79988
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000545397
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000556506
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000113279
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000556506
design_powergrid__voltage__worst,0.000556506
design_powergrid__voltage__worst__net:VPWR,1.79945
design_powergrid__drop__worst,0.000556506
design_powergrid__drop__worst__net:VPWR,0.000545397
design_powergrid__voltage__worst__net:VGND,0.000556506
design_powergrid__drop__worst__net:VGND,0.000556506
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00011600000000000000068001160258290838100947439670562744140625
ir__drop__worst,0.000545000000000000020018708912772353869513608515262603759765625
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
